,Case Type,Region,Case Number,Case Name,Status,Date Filed,Date Closed,Reason Closed,City,States & Territories,Employees on charge/petition,Allegations,Participants,Union,Unit Sought,Voters
404397,C,"Region 31, Los Angeles, California",31-CA-025480,Kuakini Medical Center,Closed,2001-12-31,2002-08-29,,Honolulu,HI,208,8(a)(5) Refusal to Furnish Information,"Charged Party / Respondent, Employer, Kuakini Medical Center, Honolulu, HI, 96817-2381
Charging Party, Union, HAWAII NURSES' ASSOCIATION, COLLECTIVE BARGAINING ORGANIZATION, Honolulu, HI, 96814",,,
404398,C,"Region 12, Tampa, Florida",12-CA-021995,BTM Charters,Closed,2001-12-31,2002-03-08,Dismissal Non-adjusted,Miami,FL,10,"8(a)(1) Coercive Actions (Surveillance, etc)
8(a)(3) Changes in Terms and Conditions of Employment","Charged Party / Respondent, Employer, Medley, FL, 33166-2027
Charging Party, Individual",,,
404399,C,"Region 12, Tampa, Florida",12-CA-021992,Honeywell International Inc.,Closed,2001-12-31,2002-10-16,Withdrawal Adjusted,Jacksonville,FL,800,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
8(a)(1) Coercive Actions (Surveillance, etc)
8(a)(3) Changes in Terms and Conditions of Employment","Charged Party / Respondent, Legal Representative, MCGOVERN PATRICK, HONEYWELL INTERNATIONAL INC, 101 Columbia Rd, Morristown, NJ, 07960-4658
Charged Party / Respondent, Legal Representative, MARAZITA PAUL, HONEYWELL INTERNATIONAL INC, 101 Columbia Rd # AB2B, Morristown, NJ, 07960-4658, (973)455-3845
Charged Party / Respondent, Employer, HONEYWELL INTERNATIONAL INC., Jacksonville, FL, 32226-4030
Charging Party, Union, UNITED STEELWORKERS LOCAL 9292, Jacksonville, FL, 32218-5558",,,
404400,C,"Region 06, Pittsburgh, Pennsylvania",06-CA-032486,"Hershey Chocolate, U.S.A.",Closed,2001-12-31,2002-03-22,Dismissal Non-adjusted,Hershey,PA,3500,8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing),,,,
404401,C,"Region 06, Pittsburgh, Pennsylvania",06-CA-032483,"March-Westin Company, Inc.",Closed,2001-12-31,2002-07-24,Dismissal Non-adjusted,Morgantown,WV,50,"8(a)(1) Coercive Actions (Surveillance, etc)","Charging Party, Legal Representative, Rosenfeld David, 1375 55th Street, Emeryville, CA, 94608, (510)337-1001
Charged Party / Respondent, Legal Representative, HOLROYD FRED, HOLROYD  & YOST, 209 Washington St W, Charleston, WV, 25302-2345, (304)343-7501
Charged Party / Respondent, Employer, MARCH-WESTIN COMPANY, INC., Morgantown, WV, 26505-3008
Charging Party, Individual",,,
404402,C,"Region 09, Cincinnati, Ohio",09-CA-038979,UNITED STATES POSTAL SERVICE,Closed,2001-12-31,2002-01-18,Withdrawal Non-adjusted,London,KY,140,"8(a)(5) Refusal to Furnish Information
8(a)(1) Coercive Actions (Surveillance, etc)","Charged Party / Respondent, Employer, PAUL HASTINGS, London, KY, 40741-9998
Charging Party, Union, SOUTHEASTERN KENTUCKY AREA LOCAL, APWU #2608, Corbin, KY, 40702-0444",,,
404403,C,"Region 06, Pittsburgh, Pennsylvania",06-CA-032484,Butler Health System,Closed,2001-12-31,2002-07-01,Withdrawal Adjusted,Butler,PA,1200,"8(a)(1) Coercive Rules
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)",,,,
404404,C,"Region 06, Pittsburgh, Pennsylvania",06-CA-032485,"Verizon North, Inc.",Closed,2001-12-31,2002-03-19,Withdrawal Adjusted,Hershey,PA,195,"8(a)(5) Repudiation/Modification of Contract[Sec 8(d)/Unilateral Changes]
8(a)(5) Refusal to Furnish Information",,,,
404405,C,"Region 01, Boston, Massachusetts",34-CA-009972,"Southernwestern Bell Corp., SNET",Closed,2001-12-31,2002-03-26,Withdrawal Non-adjusted,Guilford,CT,10000,,,,,
404406,C,"Region 01, Boston, Massachusetts",34-CA-009973,WVIT-TV,Closed,2001-12-31,2002-02-01,Withdrawal Non-adjusted,West Hartford,CT,30,,,,,
404407,C,"Region 01, Boston, Massachusetts",34-CA-009974,YALE NEW HAVEN HOSPITAL,Closed,2001-12-31,2002-02-20,Withdrawal Adjusted,New Haven,CT,8000,,,,,
404408,C,"Region 18, Minneapolis, Minnesota",18-CB-004179,SEIU Local 113 (Fairview University Medical Center),Closed,2001-12-31,2002-01-22,Dismissal Non-adjusted,Minneapolis,MN,200,"8(b)(1)(A) Coercion, incl'g Statements and Violence",,,,
404409,C,"Region 09, Cincinnati, Ohio",09-CB-010593,"PAPER, ALLIED-INDUSTRIAL, CHEMICAL & ENERGY WORKERS INTERNATIONAL UNIION (PACE), AFL-CIO, LOCAL 5-26",Closed,2001-12-28,2002-03-22,Dismissal Non-adjusted,West Carrollton,OH,300,,"Involved Party, Employer, APPLETON PAPERS, West Carrollton, OH, 45449-1900
Charged Party / Respondent, Additional Service, PAPER, ALLIED-INDUSTRIAL, CHEMICAL AND ENERGY WORKERS, INTERNATIONAL UNION, AFL-CIO, CLC, Nashville, TN, 37211-4154
Charged Party / Respondent, Union, PAPER, ALLIED-INDUSTRIAL, CHEMICAL AND ENERGY WORKERS INTERNATIONAL UNION, LOCAL 5-266, AFL-CIO-CLC, Franklin, OH, 45005-2320
Charging Party, Individual",,,
404410,C,"Region 10, Atlanta, Georgia",10-CB-007749,"IBEW, Local Union 613 (Womack Electric Company)",Closed,2001-12-28,2002-07-26,Dismissal Non-adjusted,Alpharetta,GA,20,,"Involved Party, Employer, WOMACK ELECTRIC COMPANY, Alpharetta, GA, 30009-
Charged Party / Respondent, Union, IBEW Local 613, Atlanta, GA, 30312-2750
Charging Party, Individual",,,
404411,C,"Region 10, Atlanta, Georgia",10-CA-033479,Womack Electric Company,Closed,2001-12-28,2002-07-26,Dismissal Non-adjusted,Alpharetta,GA,20,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)","Charged Party / Respondent, Employer, WOMACK ELECTRIC COMPANY, Alpharetta, GA, 30009-
Charging Party, Individual",,,
