,Last Name,First Name,Title,Salary,Representational Activities,Political Activities and Lobbying,Contributions,General Overhead,Administration
0,ADAMS,LSCOTT,REGIONAL  DIRECT OR,164684,98,0,0,0,2
1,ASHTON,JOSEPH,VICE PRESIDENT,180678,92,8,0,0,0
2,CASTEEL,GARY,REGIONAL  DIRECT OR,144425,94,6,0,0,0
3,DAVISON,MAURICE,REGIONAL  DIRECT OR,145560,93,3,0,0,4
4,ESTRADA,CYNTHIA,VICE PRESIDENT,157738,95,0,0,5,0
5,GAMBLE,RORY,REGIONAL  DIRECT OR,140906,100,0,0,0,0
6,HALL,CHARLES,REGIONAL  DIRECT OR,139736,97,2,0,0,1
7,HOLIEFIELD,GENERAL,VICE PRESIDENT,167033,100,0,0,0,0
8,JEWELL,NORWOOD,REGIONAL  DIRECT OR,138656,91,9,0,0,0
9,KARIEM,GERALD,REGIONAL  DIRECT OR,148633,95,1,0,4,0
10,KING,ROBERT,PRESIDENT,176700,90,5,0,0,5
11,KUSHNER,JULIE,REGIONAL  DIRECT OR,143726,98,2,0,0,0
12,LORTZ,KENNETH,REGIONAL  DIRECT OR,141936,94,5,0,0,1
13,MCINROY,RONALD,REGIONAL  DIRECT OR,146340,97,3,0,0,0
14,SETTLES,JAMES,VICE PRESIDENT,152054,97,3,0,0,0
15,WELLS,JAMES,REGIONAL  DIRECT OR,141170,96,2,0,0,2
16,WILLIAMS,DENNIS,SECRET ARY-TREASURER,158191,86,5,0,0,9
